Review Number,Review Text,Label
282,good product fell big deferent training 1 week using problem product sweet,Product Quality
315,omg best lube market bought reading review site thought heck many people raving give try man bit reluctant flavored lube drawer tasted like metal leave funky taste feel sticky total turnoff ouch trying wicked brand sold tasty non sticky wipe easily artificial ingredient last long time bottle sleek discreet completely changed view flavored lube good threw lube away flavor hee hee try pom favor good im tempted try ice cream,Product Quality
965,nothing really say tool job,Product Quality
280,good product noticed significant difference motion knee ankle motion whole lot better pain significantly less since purchased product month ago ordered 2nd time couple week ago,Product Quality
245,cannot believe trying one whole year get rid wart hand bazuka extra strength one week flabbergasted wart persistent 3 treatment 1 every day week gone completely would definitely recommend product anyone want clear wart andor verruca quickly,Product Quality
570,fire hazard avoidbr knob created two fire house already two month used stovebr anyone walking accidentally brush knob barely pressure accidentally turn stovebr shoebox sitting stove caught fire second time wooden cutting boardbr stove recalled complained local samsung appliance technician told samsung 100 1 000s complaint samsung actually waiting people die care anything thisbr called samsungs corporate 34executive relations34 office spent half hour hold hour true idiot provided zero assistance customer service uselessbr never buy another samsung product,Product Quality
128,use everyday work great noise cancellation wonderful product,Product Quality
682,thin lightweight expensive also material thin opinion silk smooth though,Product Quality
777,summer camp catskills made brighter sun king thanks,Product Quality
668,awesome helmet son say comfortable helmet he ever tried front visor look cool take good beating fit little kid larger average head,Product Quality
328,helpful hard reach spot cast spray nice cool powder smell quite strong straw come excellent skinny flexible often use alone scratch cast assumed straw attached nozzle bought hold straw spray nozzle time difficult likely need help part,Usability
56,bought headphone week ago love comfortable headphone ive ever owned feel comfortable even listening many hour pair audio technica m50x much better much open pleasure listen music listen music mostly ipad subscription tidal premium musi service right clarity music amazing headphone also great bargain 10899 amazon im happy purchase,Product Quality
82,work,Product Quality
66,great feature like ipod dock usb port sound unclearbr disappointed,Product Quality
9,work well,Product Quality
415,looking forward using product,Product Quality
182,appreciate speaker loud clear,Product Quality
532,work great super quiet,Product Quality
786,price amazing fun bought 2 one hte 6 yr old 4 yr old,Price
856,good tool seems good quality,Product Quality
752,great back pack zipper ripped outmy boy tough thing,Product Quality
386,good stuff trial run vitapak supplement bit cheaper cost trial could tell difference bt raw reloaded supplement ie animal paks got back reloaded three month ago dont plan stopping im stronger bigger tell positive difference without shadow doubt,Product Quality
95,purchased ous000563 super thin indoor hdtv took barbados installing itsimply tape concrete block wall pleasantly surprised difference reception tv highly recommend product,Product Quality
630,work well,Product Quality
565,great wall oven work meet standard,Product Quality
230,pretty good,Product Quality
132,speaker size sound volume great would recommend little speaker,Product Quality
332,great carrier oil use alone massage scalp boyfriend scalp use day scalp feel drystripped boyfriend horrendous dry scalp snowflake shirt hair massaged occasionally tea tree oil hair every night day really cleared flake tea tree oil helped alone would fine read jojoba oilwax one closest substrate human sebum skin scalp produce make oily seems work way scalp realllllly dry hair thick kinda lay go like5 day without washing hair apply liberally throughout whole scalp seems trick love make hair manageable actually 34do something34 wordsbr br really great moisturizer think itll come handy cold windy winter hard retain moisture think would feel wonderful warmed massaged scalp body,Product Quality
582,awesome product cant wait till new kitchen done,Product Quality
177,product defective customer service fantastic,Product Quality
609,glad bought lifter red grip top handle great hold lid sturdy lifting seems solid construction,Product Quality
352,bought could longer find good product locally happy see amazon carried several family member tried like much,Product Quality
295,havent chance use grabber much far lived reputationbr previous grabber 20 year rotate im looking forward using new optionbr like fact firmly grab small item tall area,Product Quality
416,cheap knockoff dont waste time,Product Quality
758,complete made china crap first pole seam ripped even got 2nd 3 pole 34tarp34 call durable disposable rain poncho worst 34quality34 ever even could get together would rip sun less week use sure material made something leaf little sharp thing hand like fiberglass fold back oh zipper bag ripped tried stuff back returnbr br thing liked amazon giving complete refund free return shipping,Product Quality
915,work great great price,Product Quality
558,filter work great fridge thanks prompt delivery too😀,Product Quality
374,read lot negative producti skeptical knee bone bone need replaced 4 surgery pastit took week honestly walk every day rain shine walk dog one night got go bathroom surprised knee didnt hurt like normali amazed ordered second bottle continue exercise take advantage new freedom constant painit cure allbut year shot kneesthis truly gift,Product Quality
666,leak like sieve mouthpiece held one cheap number selling local big box hardware store thinking one real deal didnt quite pan outand who gonna mail jug back,Product Quality
695,grandson love scooter best birthday ever,Product Quality
45,love headphone totally satisfied sound fact stay ear greatand love color course,Product Quality
382,wife swears little pill take one along calmag gelcap bedtime sleep like baby,Product Quality
933,pleased product,Product Quality
358,love,Product Quality
869,awesome tool,Product Quality
269,fitness band take specific battery say average battery last 4 month bought multipack keep fit fiddle well keep fit help monitor fitness level opened one last week fresh new wanted battery sit desk drawer year update review add well held,Product Quality
456,work fine came box dented several place pretty quiet get nice cold door seal well lot room inside great choice putting desk work dont expect pretty,Product Quality
524,fit whirlpool model ed5vhextbo1 run two three gallon clean carbon dust clear burp spudders water line last 6months,Product Quality
845,exerts force thought would controlled pull useful,Product Quality
445,rarely review wanted let people know deceptive marketing dishwasher remodel due space constraint needed 18 inch dishwasher replaced kenmore dishwasher rated 50 db bosch sound like freight train kitchen compared kenmore couldnt tell kenmore bosch cant run home drowns tv forget getting sleep running bedroom one side kitchen living room whoever rated 46 db must hard hearingbr br plus side great feature clean well negative door doesnt let prop open like open couple inch done let dish dry thoroughly kenmore would stay partially open position bosch basically full open closed way adjust tension spring operate door,Product Quality
115,great product,Product Quality
815,many thanks fine product work advertised,Product Quality
770,case perfect camping easily hold note 3 girlfriend iphone 5 slim case light function awesome even low able see easily campsitebr able test water tight seal held perfectly wellbr thing wish different material made durable hard plastic prefer rubbery soft plastic like case case doesnt float best loadedbr br highly recommend case anyone versatile,Usability
765,helmet fit average sized adult female head perfectly adjusts larger smaller think would probably fit 10yearold without difficulty well comfortable vent well hopefully keep head safe accident,Product Quality
515,door stick reason making fridge move every time try open,Product Quality
278,delivered promised,Shipping
365,good product little difficult fill,Product Quality
533,fan run loud man nice job easy install,Product Quality
170,wife love new head phone,Product Quality
216,great price time delivery,Price
728,mask excellent fog initially rinsing shampoo went away liked semi dry snorkel worked lot better cheap rental one,Product Quality
782,big,Product Quality
816,geart product super comfy dont know people complain tight job unless alien egg shaped head fit fine wore 46 hour didnt even notice top fact wear glass larger average head size sound isolation wonderful obviously doesnt block everything pretty much everything lower loud annoying noise humming bird wing nice case hear nothing hardly anything tried several condition home dont hear anything street thing hear tinitus sadly outside ever sound extremely muffled low hear vibration foot touching ground louder sound vibration sound hearing foot step like sound traveling ear energy pas body kind like hearing crunchy food somehow vibration travel body bone make ear canal way well hear everything else head phone fantastic tried school work lovely tested loud speaker work great lower loud music well added noise isolation ear plug together dynamic duo 60 db heavent used construction work like reviewer claim claim satisfactory ever pas construction crew tearing pavement jack hammer hardly noticed fact kind panicked bit wasnt sure safe come close since could hear took headphone compare damn pretty loud without train saw train worker massive bulky iso headphone dont fold temped let know looked hurry sum theyre great get 2 case,Product Quality
333,love pill stress,Product Quality
174,lightening strike wiped old receiver along music streaming device grace roku looking one 2 channel receiver would stream internet radio play pandora type service stream 400gb music database researching line bought unitbr br arrived today set easy took longer un untangle rat nest old wire set new unit connected wired network started play around sound quality excellent choice input excellent well one great shortcoming display panel cannot understand yamaha would put 1980s technology otherwise modern high quality system one line 13 character dot matrix display alpha numeric message track name station id etc beyond cut cornerbr br save day app yamaha np controller allows pretty much everything android io device app smooth fast intuitive p download yamaha av controller app apply unit,Product Quality
78,dissapointed quality headphone sound low battery dy less 2 hour find ironic even loud range phone actual headset probably like 2 foot disconnect everytime got phone pocket around upset product especially price couldve bought one 30 40 dollar headphone probably wouldve better,Product Quality
970,excellent,Product Quality
158,like device sound clear carry well convenient carry speaker use wifi plug laptop play playlist rechargeable battery let know battery low plug charge pleased purchase,Product Quality
152,bought one radio bimart 4 year ago without listening selection limited big rush would buy sound tinny automatic shutoff must station tuning knob make huge change slightest turn knob shortcoming drive nut use camping hunting trip receive weather service weather report backup sangean amfm portable radio love one never could get work hand crank maybe something right several midland product cb fr gmrs radio pretty good midland fumbled ball one,Product Quality
256,protein powder tasty chalky aftertaste mix almond milk flavor purely delightfulbr price better vitamin nutrition shop easy ship quick deliver without primebr berry flavor truly taste like bunch berry mixing flowbr try decide,Product Quality
669,pump large volume air quickly im bit nervous durability bump handle shaft also bought electric pump inflation volume use pump topping high pressure easy great pump,Product Quality
809,excellent,Product Quality
69,bought gift recipient love,Product Quality
878,super bummed bought 4 year old daughter never worked tried multiple battery sure problem havent returned tore package trying get open didnt want pay return shipping cost 10 wouldnt buy,Product Quality
228,enjoy taking much better big fish oil capsule,Product Quality
924,good product,Product Quality
466,perfect,Product Quality
469,work great even exposed weather like rain wind live tropic hawaii one con zipper could durable see ripping,Product Quality
974,good tool,Product Quality
430,ive product one year already stopped working purchased 3year smart guard protection first attempted find someone come repair issue instead sending entire new wine cooler would highly recommend purchasing protection plan case,Product Quality
932,knife spectacular got boyfriend moon happy seriously sometimes catch hold looking adoringly crazy sharp case high quality fact everything knife high quality looking good knife look dont think find better one case knife,Product Quality
552,good value,Product Quality
828,worked well hardwood floor project comfortable stay place wore long short pant,Product Quality
678,fit fitbit perfectly gave variety fun choice clip worked well material little less comfortable original band nothing big deal firmer material,Product Quality
28,great space saving solution consolidating dvd,Product Quality
958,excellent good instruction,Product Quality
268,remember matthew 721,Product Quality
586,omg clothes finally getting washed like good old day br waited 2 month get speed queen n worth wait clothes washed morebr gentle way n come washer less wrinkled dryer better shape less wrinkle nbr here novelty cleaned threw garbage 4 year old computerized washer new govmtbr regulated water rationing washing machine br keeper,Product Quality
830,arrived fast withstood holster trauma wear easily glock 17,Shipping
528,work fine less expensive one purchasing year,Product Quality
895,latch connector dont seat well still hold hose valve stem,Product Quality
628,bought wife love everything want travel backpack,Product Quality
478,great deal aaaa,Price
645,little pricey get job donebr br would nice unit shipped keybr br autotensioner fork end plus,Price
266,loving efficient simple aromatherapy device office restaurant help keep atmosphere clear cooking odor,Product Quality
680,great product easy install purchased son started working beach lifeguard summer needed bike get around boardwalkocean front rack stored easily use installed minute needed another rack carry bike wife bike went right back sari purchased another,Product Quality
577,hard time keeping ice tray full lake house summer great silent making batch ice couldnt call loud either ice falling bin loud dont know going happenbr br high volume rarely ran family four summer putting ice drink,Product Quality
468,work fit great kenmore side side,Product Quality
80,exactly described sleeve helped tidy work space thanks,Product Quality
377,excellent,Product Quality
370,work great tennis elbow con bit large around small armwould perfect different size option,Product Quality
868,perfect bugout bag love,Product Quality
428,everything needed,Product Quality
15,love small speaker loud volume great beach,Product Quality
574,price great little fridge office dorm room hold 6pack also used car hot cold setting hot would keep dish warm warm,Price
16,work advertised nothing else really say,Product Quality
30,work great wound pairing sonos connect didnt buy connectamp put enough sound work amazingly,Product Quality
215,worked great durable used month foot healing surgers,Product Quality
977,work great openbuilds cbeam cutting aluminium used precise bit collet set think n tinker planning get another ox little thinner bosch youd shim make new holder inventables design,Product Quality
982,perfect use renovation house hold paint can tool glove sand paper tool box etc great doesnt cleaned move sturdy easy store use,Product Quality
209,bag magic use line cat box theyre tough hold well,Product Quality
616,bought 9 year old son autism spectrum snow ski familiar concept hadnt water skied thought would begin trainer got first try starting shallow water took second run another flawless start here link video,Product Quality
480,great deal aaaa,Price
774,great concept strap broke less 6 month strap break light useless also blinder 1 blinder road better 1 strap dont break easy road strap replaceable,Product Quality
724,havent used outside yet bag really nice loft quickly comfortable price awesome arrived right away,Product Quality
656,extremely bright lamp great camping power outage looking finite detail work unlit situation recommended,Product Quality
409,work advertised poor insulation top like 3rd shelf come handy smallshort item,Product Quality
880,love,Product Quality
124,headphone amazing clarity unreal would highly recommend purchasing pair,Product Quality
715,awesomemy daughter love,Product Quality
882,review everthing promised,Product Quality
186,product okay volume level good used going louder charge last maybe 25 hour continuous use first pair bluetooth earbuds feel gullible going purchase pair around 20 thought price point low instead purchased think maybe tryout pair could gone 20 pair,Product Quality
928,bulb burned 15 minute use 8 hour period,Product Quality
855,outstanding power drill great quality great price,Product Quality
693,nice greasy time tell,Product Quality
876,needed work great shop vac sliding band hold securely place,Usability
197,awesome speaker take everywhere charge really last sound great range fantastic youre market get one,Usability
238,bought second set friend,Product Quality
479,maytag garbage avoid cost product fails less year use value get scrap value steel,Product Quality
150,product worked advertised,Usability
183,great product save money product described fast delivery,Price
783,got one piece description false,Shipping
744,bought dad pleased especially ability focus light allows see quite distance seeing light work would definitely consider buying hand around house car camper etc,Usability
548,work great bathroom preserve insulin diabetes compact take little space counter,Usability
279,love thank youwould l love top try new thing like,Product Quality
267,denture fit perfectly like strainer cup finger touch cleaning solution wish leak travel lot getting used new denture time take cup car filled water dentist told soak water mouth anyone suggestion cup leak appreciated,Usability
950,couldnt beat price,Price
369,best thing moistening lip,Usability
218,think prescription advertised,Usability
532,work great super quiet,Usability
84,videoidca7421903fd1ad5c64ae1dc42a160649 earbuds always issue mine one stereotypical story cant find pair fit ear well ive tried many type earbuds give ear canal sort fatigue sound bad keeping ear 10 minute painful one could tolerate apple earpods lovehate relationship sure sit nicely ear fully open mean lose music cricket night pelican day well found flare r2a inear monitor seems fear earbuds overbr br disclaimer product provided discounted price exchange honest reviewbr br r2s began life kickstarter campaign raised 170 000 thats quite lot iems rather niche market flare british company strives excellence sound hope world join pursuit r2s company made loudspeaker inears bit different industry think fine job thingsbr br listen lot different genre music mostly folk dream pop lately test r2s listened hiphop jazz edm instrumental guitar piano rock classical course aforementioned folk performed consistently well every genre also look greatbr br first course sound iems arent active noise canceling anything fancy good noise canceling often diminishes sound quality r2s still great keeping outside noise minimum use plushy foam tip earplug make comfortable quiet listening environment tried work bus walking busy road even studio recording there absolutely sound leakage great quiet environment none quality seems lost environment noisybr br people sometimes rant flat response better everything else people might troubled r2s theyre warmer earbuds dont muddy bass main issue earbuds always treble there way much everywhere skullcandy wanted fun started adding bunch bass mix everything 80hz seemed lost r2s none problem high crisp mids cut well low course deliver muchneeded punch rather drone responsiveness everything tightbr br said everything listened iems sounded wonderful revealed detail song didnt know also comfortable affordable easy use high overbearing pronounced highmids dont clutter high lowmids keep bass line check low make sure remember bass drum exists without making forget guitar midrange thats great achievement really love way sound everything balanced overall bit warm would much rather warm sound like tinny old apple earbuds early 2000s mesh bassless muddlebr br design thing beautifully minimal arent trying artistic nice change earbuds black whatever color chose tip cable match there also rectangular machined aluminum box split stereo signal left right channel doesnt need big add pizzazz thing lastly there 35mm connector mine black two gold stripe running itbr br love design there one ergonomic inconsistency aluminum box look cool see designer would put however want use versatile pair iems may walk move around bit latter inevitable choose move around youll hear strange thudding sound thats box attempting defy gravity every time hear tell cool look doesnt need heavy certainly doesnt add special functionality heaviness suppose add value iems would prefer wasnt especially im using performbr br reference series least according marketing flare dont recommend using referencing r2s dont produce completely flat sound like sonys theyre amazing listening necessarily studio work tried mixing song using fun noticed mix tended lose lowmid range speaker headphone simply r2s warm characteristic great listening music mixingproducing itbr br youre musician youll find great monitoring thus named inear monitor used monitor vocal piano recording entire song worked great warmth help make thing less straining ear there much bass get headache using also used monitor synth rest band playing live foam tip isolated sound wellbr br worth noting since inear monitor microphone aluminum block middle cable act splitter there hidden microphone first bugged would receive call forget couldnt use headphone talk accepted there reason iems microphone since there way use talkback band anything also go way flare built solely focus recreating sound accurately adding sound bottom line microphone would useful isnt one shouldnt deal breakerbr br here verdict r2s made like earbuds considering shure se215s reign superior theyre ear dont feel like need take feel home even apple earpods sit ear nicely dont make forget im listening music small piece plastic ear r2s dont look ridiculous like earbuds friend even told didnt notice wearing theyre small thats awesomee design there one ergonomic inconsistency aluminum box look cool see designer would put however want use versatile pair iems may walk move around bit latter inevitable choose move around youll hear strange thudding sound thats box attempting defy gravity every time hear tell cool look doesnt need heavy certainly doesnt add special functionality heaviness suppose add value iems would prefer wasnt especially im using performbr br reference series least according marketing flare dont recommend using referencing r2s dont produce completely flat sound like sonys theyre amazing listening necessarily studio work tried mixing song using fun noticed mix tended lose lowmid range speaker headphone simply r2s warm characteristic great listening music mixingproducing itbr br youre musician youll find great monitoring thus named inear monitor used monitor vocal piano recording entire song worked great warmth help make thing less straining ear there much bass get headache using also used monitor synth rest band playing live foam tip isolated sound wellbr br worth noting since inear monitor microphone aluminum block middle cable act splitter there hidden microphone first bugged would receive call forget couldnt use headphone talk accepted there reason iems microphone since there way use talkback band anything also go way flare built solely focus recreating sound accurately adding sound bottom line microphone would useful isnt one shouldnt deal breakerbr br here verdict r2s made like earbuds considering shure se215s reign superior theyre ear dont feel like need take feel home even apple earpods sit ear nicely dont make forget im listening music small piece plastic ear r2s dont look ridiculous like earbuds friend even told didnt notice wearing theyre small thats awesome,Usability
679,tried tighten two bolt grip thread stripped work fine one tightened bolt one thing,Usability
737,brother love backpack picky stuff im happy actually like itbr really nice cool 😎 product didnt came damege,Aesthetic Appeal
797,use short run perfect,Usability
284,super cute packaging smell amazing love,Aesthetic Appeal
164,love,Product Quality
79,replaced logitech wireless radio bathroom sound much better,Product Quality
55,enjoy crystal clear clarity sound product super great quality highly recommended would make perfect gift anyone,Product Quality
107,exactly looking inexpensive light set phone listening pandora ipad,Price
493,good,Product Quality
75,day 20 november 2014 acquired jbl portable load indoor outdoor bluetooth speaker,Shipping
544,look okay old one good used,Aesthetic Appeal
735,price good sock wore hiking july issue fit used one pair two day vacation smell also kept foot dry,Price
964,like brief straight point,Customer Service
676,purchased bike two year old son time receiving bike approximately 32 inch tall bike fit perfectly seat post way giving lot room growth gave bike march writing review august review 56 month experience using bikebr br bike arrived relatively small box assembly done 510 minute attached handlebar seat post tighten provided allen wrench done bike made solid metal steel maybe sturdy heavy even toddler able pick maneuver left bike outside accidentally paint bike still like new sturdy bike great design concept balance bike perfect son warmed idea bike walked standing first month since learned sit walk quickly catching onto idea control fast go last month raised seat first time still plenty room grow bike use bike ready transition bike pedal training wheel hell ready thanks strider,Usability
335,sensitive chemical may winner yeast issue using product,Usability
148,player absolute fraud system horrible use cant play playlist cheap knockoff hope apple sue want money back,Usability
665,item awesome hold temp well plan traveling long period timebr br overallbr design awesomebr handle tight around body big handsknuckles touchrub body holding problem thoughbr keep temperature goodbr quick rinse easy put sink brush minor scrubbingbr wide spout easy fillpourbr able unlock lid pour one hand may take couple attempt get technique downbr lid lock goodtightbr durable buildbr government label bottom see local growler fill rulesstate lawsbr complaint growlerbr br quick test note may 100 accurate give anyone reading ideabr poured 5 12oz beer left growler hour room temp exposed direct sunlight drank drink stayed cold first poured leave left beer overnight see held growler downside next morning noticed beer start go flat understand would happen wanted see would hold noting surprising personally would recommend longer 24 hour pinch probably drink five beer time anyways beer start go flat recommended average time growler max 36 hoursbr growler highly recommend easy hold filled easy pour designed drink directly spout,Product Quality
550,love wine freezer hold 24 wine bottle easily champagne bottle duel temperature area allow keep red warmer white colder,Usability
265,nsntnttnxgntttn,Product Quality
144,like,Product Quality
344,thought would give try using rejuvenate high hope one,Usability
475,use washing machine im rv work great save money time visiting laundry mat love product,Usability
137,work great right bprice,Usability
707,delivery fast shoe great,Shipping
276,great stuff sure follow direction best result,Usability
348,soluable seems fine know,Product Quality
424,watching video youtube took dryer apart blew air compressor run like new,Product Quality
660,great perfect home use,Usability
867,work great great price,Usability
460,honestly would wash clothes hand faster easier,Usability
209,bag magic use line cat box theyre tough hold well,Usability
655,good,Product Quality
748,love pocket easy get one hand feel material comfortable,Usability
18,copy cdr usb advertised cd recorded sony machine properly finalized copy machinesbr repeatedly show 34copy protected wait34br none cdr copy protected want machine copy cdr collection usb,Usability
275,didnt stick well matched theme enough give couple try,Usability
983,great,Product Quality
260,may take little time get used first time wearing lena cup say never go back using tampon ever,Usability
925,great product,Product Quality
325,fantastic neuropathy foot ball foot toe put bedtime help tremendously hurt end day great product,Usability
564,perfect replacement ge fridge,Usability
438,worked great stopped working twice ive one go first time ran without water turned fault detect there water nd keep running anyway hell developed leak id 30 day company exchanged 2nd time using correctly great result 1 year yesterday started making different noise usually make sounded like pump frozen burning smell developed leak bottom disappointed probably past warrantee ill likely junk sure get another one seem brand available amazon may quality issue,Usability
818,scratch lens,Aesthetic Appeal
418,3 button stopped working month using used twice day recommend go use money something durable oh also big plate fit,Usability
67,videoid3bdd17778455ef097fcffb1d018022b6 good variance bluetooth speaker physical design extra box sound quality speaker worth time money little cube speaker igadgitz interesting speaker may little big sound work well find one potential issue come range operation describe belowbr br one smallest speaker seen used spite size solid hefty little speaker weighing youd expect mind good sign mean little speaker cheap little speaker subpar receiver honest little skeptical would put good sound first saw speaker pleasantly surprised shortlybr br speaker pair connects easily discoverable mode identifies xquare 2 issue pairing phone connected remained connected without issuebr br range speaker good able carry source distance 20 30 began stutter cut seen speaker range majority fall threshold said need mention issue came testing kept mind speaker sitting switch control facing control side flat surface sitting range cut dramatically speaker sitting way range dropped 6 started cutting seem matter speaker moving away source way aroundbr br loaded music played speaker pleased outcome speaker problem playing higher volume without distortion washing profile good bass strong slightly elevated overkill midrange good music depth result high bright crisp small speaker one produce betterthanexpected soundbr br one favorite bluetooth speaker small excellent sound made well size make placeable area speaker bulky fit speaker prof smaller speaker great sound worth asking pricebr br disclaimer provided sample product exchange fair honest thorough review even though received product cost rated reviewed product without bias based solely experience iter volume without distortion washing profile good bass strong slightly elevated overkill midrange good music depth result high bright crisp small speaker one produce betterthanexpected soundbr br one favorite bluetooth speaker small excellent sound made well size make placeable area speaker bulky fit speaker prof smaller speaker great sound worth asking pricebr br disclaimer provided sample product exchange fair honest thorough review even though received product cost rated reviewed product without bias based solely experience,Product Quality
893,great bit effortlessly drilled hardened steel good several us,Usability
732,product good wheel lot less faster last longer,Price
750,printed band make fitbit flex look like bracelet try print,Product Quality
467,microwave neighborhood used neighbor went 2 year ago mine last week microwave stopped heating seems like common issue previous review,Usability
304,pretty decent lighter issue first getting light messing like 20 second problem may become favorite single flame torch built like tank,Usability
350,sixty chunky barely moving say barely moving didnt even want walk car since ive taking tumeric sport research product im physically moving bought motorhome im camping im kayaking hiking general feel like thing cannot say enough tumeric,Usability
583,couldnt pas purchasing rise price manufacturer one expensive hoping would fit perfectly purchasing sure,Price
132,speaker size sound volume great would recommend little speaker,Product Quality
224,amazing always,Product Quality
684,work great inflating tube make work easy light quick ready go fun,Usability
675,item outstanding well made robust use separating stainless steel pin rifle pistol brass wet cleaning process classifier filled 10 pound stainless steel pin 15 pound rifle pistol brass held without giving way cheaper model purchase confidence wont disappointed,Product Quality
824,preferred edc great price great quality crkt make quality knife,Price
383,ice green aqua like picture true green,Aesthetic Appeal
9,work well,Usability
104,wonderful wonderful product dont think could improved used motorcycle trip long continuous wear 14hr day cross country comfort wind noise better pair custom made ear gear comparison,Usability
932,knife spectacular got boyfriend moon happy seriously sometimes catch hold looking adoringly crazy sharp case high quality fact everything knife high quality looking good knife look dont think find better one case knife,Product Quality
60,junk play mp3 wma even though instruction come say try play wma get 34format error34 wife bought birthday present time opened longer return instruction match player menu like everyone else said intuitive select something push 34menu34 would expect push button middle aggravated player amazon,Usability
76,im really qualified review headphone member headfi gave really good review far theyre best ive usedbr theyre extremely clear somewhat lacking bass still feel hear overpowering listening headphone akin experience eating dark chocolate,Product Quality
364,use diffuse essential oil help allergy night look nice sitting bedside table seem little inconsistent long last might humidity room sometimes get two night single filling time one night always least one nightbr br im sure varies depending quality oil use dont want knock product since im certain reason notice scent oil noticeable first hour steam last night though thats good much steam though youre hoping use also humidifier dont think would work wellbr br two main complaint first removing lid refill pretty severe repetitive motion injury night hard day work cant quite grip well enough open pretty wide smooth surface grip twist open easiest put back either anyone injury illness make difficult open jar anything probably give issue well second issue light button crazy bright like sleeping dark dark possible put electrical tape button helped light still reflects little bit white top unbearable id prefer way keep lighting take note im talking light feature turned im talking light built button signal different thing like whether cant turned,Usability
725,easy inflat comfortable easy deflate full house company perfect add bed tv room guest happy sleep accommodation,Usability
907,knife gift mebr br great knife pricebr br would recommend,Price
125,perfect fit efficient,Product Quality
904,bought cabinate sam club price much better product attractive work good would encourage family friend purchase product nudist,Price
373,best general sport tape buy used several brand always come back thie johnson johnson coach tape durability ease use make sure 69 inch piece instead wrapping large amount around ankle knee wrist etc way adjust tightness accurately affect circulation,Product Quality
838,2nd one owned great,Product Quality
455,bought repair kitchenaid blender model ksb5wh4 could purchased part several supplier ranging price 486 9 charged little shipping part amazon seem factory certified part described package say 34made us34 nice easy replacementbr br coupler blender broke apart hard black rubber part broke apart metal coreinsert remained blender read online instruction replacement watched youtube video showing replacement instruction included part includes photo removal old coupler even easier youtube video showbr br coupler core appears made aluminum screwed onto hardened steel shaft instruction require insert flat screw driver old coupler pry time rotating position come coupler core aluminum really prying thread give way harder steel remove bit aluminum thread came simply screw new coupler onto threaded shaft need hand tighten counter clockwise normal blending motiondirection tightens coupler literally took 90 second complete whole replacement,Usability
525,youre looking great cooler one might answer,Product Quality
809,excellent,Product Quality
465,quiet seem like 1000 watt power,Product Quality
944,easy install perfect needed didnt need five,Usability
476,part match part stove even though used model,Usability
973,unfortunately sharpen punch needed first hole tried punch tore gasket material sharpened worked ok would definitely shop around making decision need good punch get good quality set,Usability
704,great,Product Quality
173,good product good seller,Product Quality
860,useful little item around mine came clip got lost time ruler still variety division inchescm though make arbitrary conversion comparison much easier worthy addition tool drawer,Usability
397,great thing capsule content rrr soooo good usbr im glad rrr available,Usability
535,viking ashamed marketing poor performing product powerful motor market useless ram travel 6 inch returning find pushing trash hand fit additional trash bin yuck add insult injury bin use standard size bag purchase expensive one viking viking clearly quality brand name use thing worse compactor customer service deptartment way chain regional sale manager beware buy product stuck,Usability
865,heavy duty,Product Quality
484,thanks,Product Quality
948,ill give 4 star work fine havent found anything better,Usability
773,original right croakies anyway really great fit oakley gascans well slip larger frame easily stay stuck really well strap really comfortable roomy enough hang way slip glass seemingly durable well made expect many year come,Usability
